project, run, sample, species, location, collection date, technology, 16S region
PRJNA352338, SRR5043851, bleached, Porites lobata, 24.8N 54.7E, 2012, Illumina MiSeq, V5-V6
PRJNA352338, SRR5043850, coral, Porites lobata, 22.2N 39.0E, 2012, Illumina MiSeq, V5-V6
PRJNA352338, SRR5043849, coral, Porites lobata, 24.8N 54.7E, 2012, Illumina MiSeq, V5-V6
PRJNA352338, SRR5043848, coral, Porites lobata, 24.6N 54.4E, 2012, Illumina MiSeq, V5-V6
PRJNA352338, SRR5043847, bleached, Porites lobata, 24.6N 54.4E, 2012, Illumina MiSeq, V5-V6
PRJNA352338, SRR5043846, coral, Porites lobata, 24.8N 54.7E, 2012, Illumina MiSeq, V5-V6
PRJNA352338, SRR5043845, bleached, Porites lobata, 24.6N 54.4E, 2012, Illumina MiSeq, V5-V6
PRJNA352338, SRR5043844, bleached, Porites lobata, 22.3N 39.0E, 2012, Illumina MiSeq, V5-V6
PRJNA352338, SRR5043843, bleached, Porites lobata, 22.3N 39.0E, 2012, Illumina MiSeq, V5-V6
PRJNA352338, SRR5043842, seawater, NA, 24.6N 54.4E, 2012, Illumina MiSeq, V5-V6
PRJNA352338, SRR5043841, bleached, Porites lobata, 24.8N 54.7E, 2012, Illumina MiSeq, V5-V6
PRJNA352338, SRR5043840, bleached, Porites lobata, 22.3N 39.0E, 2012, Illumina MiSeq, V5-V6
PRJNA352338, SRR5043839, bleached, Porites lobata, 24.6N 54.4E, 2012, Illumina MiSeq, V5-V6
PRJNA352338, SRR5043838, coral, Porites lobata, 22.3N 39.0E, 2012, Illumina MiSeq, V5-V6
PRJNA189184, SRR764561, coral, Stylophora pistillata, 19.9N 40.2E, 2013, 454, V5-V6
PRJNA189184, SRR764560, coral, Stylophora pistillata, 20.1N 40.2E, 2013, 454, V5-V6
PRJNA189184, SRR764559, coral, Stylophora pistillata, 19.9N 40.0E, 2013, 454, V5-V6
PRJNA189184, SRR764558, coral, Stylophora pistillata, 19.2N 40.3E, 2013, 454, V5-V6
PRJNA189184, SRR764557, coral, Stylophora pistillata, 18.7N 40.8E, 2013, 454, V5-V6
PRJNA310360, SRR3145954, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145953, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145952, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145951, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145950, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145949, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145948, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145947, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145946, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145945, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145943, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145942, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145941, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145940, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
PRJNA310360, SRR3145939, mucus, Porites astreoides, 12.1N 68.6W, 2014, 454, V3-V6
